Num.,Cpd.,structure,Smilies,Ki,reference,
122,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-cinnamamido-4-methylpentanamide,,O=C(/C=C/C1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.69 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
123,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-((E)-3-(4-methoxyphenyl)acrylamido)-4-methylpentanamide,,O=C(/C=C/C1=CC=C(OC)C=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.70 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
124,"(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-((E)-3-(3,4-dimethoxyphenyl)acrylamido)-4-methylpentanamide",,O=C(/C=C/C1=CC=C(OC)C(OC)=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,1.30 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
125,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-4-methyl-2-(2-phenoxyacetamido)pentanamide,,O=C(N[C@H](C(N[C@@H](C[C@@H]1CCNC1=O)C(C2=NC3=C(S2)C=CC=C3)=O)=O)CC(C)C)/C=C/C4=CC=C(C=C4)OC,0.56 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
126,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-(2-(4-methoxyphenoxy)acetamido)-4-methylpentanamide,,O=C(COC1=CC=C(OC)C=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,1.56 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
127,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-(2-(4-hydroxyphenoxy)acetamido)-4-methylpentanamide,,O=C(COC1=CC=C(O)C=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,8.4 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
128,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-(2-(3-(dimethylamino)phenoxy)acetamido)-4-methylpentanamide,,O=C(COC1=CC=CC(N(C)C)=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.84 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
129,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-(2-((4-methoxyphenyl)amino)acetamido)-4-methylpentanamide,,O=C(CNC1=CC=C(OC)C=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,3.20 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
130,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-(2-((3-methoxyphenyl)amino)acetamido)-4-methylpentanamide,,O=C(CNC1=CC(OC)=CC=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.39 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
131,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-(2-((2-methoxyphenyl)amino)acetamido)-4-methylpentanamide,,O=C(CNC1=C(OC)C=CC=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.33 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
132,benzyl ((S)-4-methyl-1-oxo-1-(((S)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)-1-(5-phenylthiazol-2-yl)propan-2-yl)amino)pentan-2-yl)carbamate,,O=C(OCC1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC=C(C3=CC=CC=C3)S2)=O)C[C@@H]4CCNC4=O)=O,0.66 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
133,benzyl ((S)-1-(((S)-1-(5-(2-methoxyphenyl)thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)carbamate,,O=C(OCC1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC=C(C3=C(OC)C=CC=C3)S2)=O)C[C@@H]4CCNC4=O)=O,2.5 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
134,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-1H-indole-2-carboxamide,,O=C(C1=CC(C=CC=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,0.065 ¦ÌM,P. Thanigaimalai et al. / European Journal of Medicinal Chemistry 68 (2013) 372-384,
135,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-5-methoxy-1H-indole-2-carboxamide,,O=C(C1=CC(C=C(OC)C=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,0.067 ¦ÌM,P. Thanigaimalai et al. / European Journal of Medicinal Chemistry 68 (2013) 372-384,
136,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-5-chloro-1H-indole-2-carboxamide,,O=C(C1=CC(C=C(Cl)C=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,0.028 ¦ÌM,P. Thanigaimalai et al. / European Journal of Medicinal Chemistry 68 (2013) 372-384,
137,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-4-methoxy-1H-indole-2-carboxamide,,O=C(C1=CC(C(OC)=CC=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,0.0063 ¦ÌM,P. Thanigaimalai et al. / European Journal of Medicinal Chemistry 68 (2013) 372-384,
138,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-4-isopropoxy-1H-indole-2-carboxamide,,O=C(C1=CC(C(OC(C)C)=CC=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,0.048 ¦ÌM,P. Thanigaimalai et al. / European Journal of Medicinal Chemistry 68 (2013) 372-384,
139,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-4-isobutoxy-1H-indole-2-carboxamide,,O=C(C1=CC(C(OCC(C)C)=CC=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,0.030 ¦ÌM,P. Thanigaimalai et al. / European Journal of Medicinal Chemistry 68 (2013) 372-384,
140,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-4-hydroxy-1H-indole-2-carboxamide,,O=C(C1=CC(C(O)=CC=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,0.026 ¦ÌM,P. Thanigaimalai et al. / European Journal of Medicinal Chemistry 68 (2013) 372-384,
141,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-1H-benzo[d]imidazole-2-carboxamide,,O=C(C1=NC(C=CC=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,0.022 ¦ÌM,P. Thanigaimalai et al. / European Journal of Medicinal Chemistry 68 (2013) 372-384,
142,"tert-butyl (2-(2,3-dichloro-4-(2-methylenebutanoyl)phenoxy)acetyl)carbamate",,ClC1=C(Cl)C(C(C(CC)=C)=O)=CC=C1OCC(NC(OC(C)(C)C)=O)=O,45.8 ¦ÌM,"Kaeppler, U.; Stiefl, N.; Schiller, M.; Vicik, R.; Breuning, A.;
Schmitz, W.; Rupprecht, D.; Schmuck, C.; Baumann, K.; Ziebuhr, J.;
Schirmeister, T. A new lead for nonpeptidic active-site-directed
inhibitors of the severe acute respiratory syndrome coronavirus main
protease discovered by a combination of screening and docking
methods. J. Med. Chem. 2005, 48, 6832?6842.",
143,"1-amino-2-methyl-1-oxopropan-2-yl (2-(2,3-dichloro-4-(2-methylenebutanoyl)phenoxy)acetyl)carbamate",,ClC1=C(Cl)C(C(C(CC)=C)=O)=CC=C1OCC(NC(OC(C(N)=O)(C)C)=O)=O,35.3 ¦ÌM,"Kaeppler, U.; Stiefl, N.; Schiller, M.; Vicik, R.; Breuning, A.;
Schmitz, W.; Rupprecht, D.; Schmuck, C.; Baumann, K.; Ziebuhr, J.;
Schirmeister, T. A new lead for nonpeptidic active-site-directed
inhibitors of the severe acute respiratory syndrome coronavirus main
protease discovered by a combination of screening and docking
methods. J. Med. Chem. 2005, 48, 6832?6842.",
144,"5-((4-methylpiperidin-1-yl)sulfonyl)indoline-2,3-dione",,O=C(C1=CC(S(=O)(N2CCC(C)CC2)=O)=CC=C1N3)C3=O,IC50=1.18 ¡À 0.11 ¦ÌM,"Liu, W.; Zhu, H.-M.; Niu, G.-J.; Shi, E.-Z.; Chen, J.; Sun, B.;
Chen, W.-Q.; Zhou, H.-G.; Yang, C. Synthesis, modification and
docking studies of 5-sulfonyl isatin derivatives as SARS-CoV 3C-like
protease inhibitors. Bioorg. Med. Chem. 2014, 22, 292?302.",
145,"1-methyl-5-((4-methylpiperidin-1-yl)sulfonyl)indoline-2,3-dione",,O=C(C1=CC(S(=O)(N2CCC(C)CC2)=O)=CC=C1N3C)C3=O,IC50=1.04 ¡À 0.01 ¦ÌM,"Liu, W.; Zhu, H.-M.; Niu, G.-J.; Shi, E.-Z.; Chen, J.; Sun, B.;
Chen, W.-Q.; Zhou, H.-G.; Yang, C. Synthesis, modification and
docking studies of 5-sulfonyl isatin derivatives as SARS-CoV 3C-like
protease inhibitors. Bioorg. Med. Chem. 2014, 22, 292?302.",
146,"1-((3,5-dimethylisoxazol-4-yl)methyl)-2,3-dioxoindoline-5-carbonitrile",,O=C(C1=CC(C#N)=CC=C1N2CC3=C(C)ON=C3C)C2=O,IC50=7.2 ¦ÌM,"Chen, L. R.; Wang, Y. C.; Lin, Y. W.; Chou, S. Y.; Chen, S. F.;
Liu, L. T.; Wu, Y. T.; Kuo, C. J.; Chen, T. S. S.; Juang, S. H. Synthesis
and evaluation of isatin derivatives as effective SARS coronavirus 3CL
protease inhibitors. Bioorg. Med. Chem. Lett. 2005, 15, 3058?3062.",
147,"1-(2-chloro-4-fluorobenzyl)-5-iodoindoline-2,3-dione",,O=C(C1=CC(I)=CC=C1N2CC3=CC=C(F)C=C3Cl)C2=O,IC50=9.4 ¦ÌM,"Chen, L. R.; Wang, Y. C.; Lin, Y. W.; Chou, S. Y.; Chen, S. F.;
Liu, L. T.; Wu, Y. T.; Kuo, C. J.; Chen, T. S. S.; Juang, S. H. Synthesis
and evaluation of isatin derivatives as effective SARS coronavirus 3CL
protease inhibitors. Bioorg. Med. Chem. Lett. 2005, 15, 3058?3062.",
148,"1-(benzo[b]thiophen-2-ylmethyl)-7-nitroindoline-2,3-dione",,O=C(C1=CC=CC([N+]([O-])=O)=C1N2CC3=CC(C=CC=C4)=C4S3)C2=O,IC50=2.0 ¦ÌM,"Chen, L. R.; Wang, Y. C.; Lin, Y. W.; Chou, S. Y.; Chen, S. F.;
Liu, L. T.; Wu, Y. T.; Kuo, C. J.; Chen, T. S. S.; Juang, S. H. Synthesis
and evaluation of isatin derivatives as effective SARS coronavirus 3CL
protease inhibitors. Bioorg. Med. Chem. Lett. 2005, 15, 3058?3062.",
149,"1-(benzo[b]thiophen-2-ylmethyl)-7-bromoindoline-2,3-dione",,O=C(C1=CC=CC(Br)=C1N2CC3=CC(C=CC=C4)=C4S3)C2=O,IC50=0.98 ¦ÌM,"Chen, L. R.; Wang, Y. C.; Lin, Y. W.; Chou, S. Y.; Chen, S. F.;
Liu, L. T.; Wu, Y. T.; Kuo, C. J.; Chen, T. S. S.; Juang, S. H. Synthesis
and evaluation of isatin derivatives as effective SARS coronavirus 3CL
protease inhibitors. Bioorg. Med. Chem. Lett. 2005, 15, 3058?3062.",
150,"1-(benzo[b]thiophen-2-ylmethyl)-5-fluoroindoline-2,3-dione",,O=C(C1=CC(F)=CC=C1N2CC3=CC(C=CC=C4)=C4S3)C2=O,IC50=4.82 ¦ÌM,"Chen, L. R.; Wang, Y. C.; Lin, Y. W.; Chou, S. Y.; Chen, S. F.;
Liu, L. T.; Wu, Y. T.; Kuo, C. J.; Chen, T. S. S.; Juang, S. H. Synthesis
and evaluation of isatin derivatives as effective SARS coronavirus 3CL
protease inhibitors. Bioorg. Med. Chem. Lett. 2005, 15, 3058?3062.",
151,"1-(benzo[b]thiophen-2-ylmethyl)-5-iodoindoline-2,3-dione",,O=C(C1=CC(I)=CC=C1N2CC3=CC(C=CC=C4)=C4S3)C2=O,IC50=0.95 ¦ÌM,"Chen, L. R.; Wang, Y. C.; Lin, Y. W.; Chou, S. Y.; Chen, S. F.;
Liu, L. T.; Wu, Y. T.; Kuo, C. J.; Chen, T. S. S.; Juang, S. H. Synthesis
and evaluation of isatin derivatives as effective SARS coronavirus 3CL
protease inhibitors. Bioorg. Med. Chem. Lett. 2005, 15, 3058?3062.",
152,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(((2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yl)oxy)-4H-chromen-4-one",,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC(O)=C(O)C=C3)=C1O[C@H]4[C@@H](O)[C@@H](O)[C@H](O)[C@@H](C)O4,IC50=24.14 ¦ÌM,"Chen, L.; Li, J.; Luo, C.; Liu, H.; Xu, W.; Chen, G.; Liew, O. W.;
Zhu, W.; Puah, C. M.; Shen, X.; Jiang, H. Binding interaction of
quercetin-3-beta-galactoside and its synthetic derivatives with SARSCoV
3CL(pro): Structure-activity relationship studies reveal salient
pharmacophore features. Bioorg. Med. Chem. 2006, 14, 8295?8306.",
153,"8-(5-(5,7-dihydroxy-4-oxo-4H-chromen-2-yl)-2-hydroxyphenyl)-5,7-dihydroxy-2-(4-hydroxyphenyl)-4H-chromen-4-one",,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC(C4=C(O)C=C(O)C5=C4OC(C6=CC=C(O)C=C6)=CC5=O)=C(O)C=C3)=C1,IC50=8.3 ¦ÌM,"Ryu, Y. B.; Jeong, H. J.; Kim, J. H.; Kim, Y. M.; Park, J.-Y.; Kim,
D.; Naguyen, T. T. H.; Park, S.-J.; Chang, J. S.; Park, K. H.
Biflavonoids from Torreya nucifera displaying SARS-CoV 3CLpro
inhibition. Bioorg. Med. Chem. 2010, 18, 7940?7947.",
154,"5,7-dihydroxy-8-(5-(5-hydroxy-7-methoxy-4-oxo-4H-chromen-2-yl)-2-methoxyphenyl)-2-(4-hydroxyphenyl)-4H-chromen-4-one",,O=C1C2=C(O)C=C(OC)C=C2OC(C3=CC(C4=C(O)C=C(O)C5=C4OC(C6=CC=C(O)C=C6)=CC5=O)=C(OC)C=C3)=C1,IC50=32.0 ¦ÌM,"Ryu, Y. B.; Jeong, H. J.; Kim, J. H.; Kim, Y. M.; Park, J.-Y.; Kim,
D.; Naguyen, T. T. H.; Park, S.-J.; Chang, J. S.; Park, K. H.
Biflavonoids from Torreya nucifera displaying SARS-CoV 3CLpro
inhibition. Bioorg. Med. Chem. 2010, 18, 7940?7947.",
155,"5,7-dihydroxy-8-(5-(5-hydroxy-7-methoxy-4-oxo-4H-chromen-2-yl)-2-methoxyphenyl)-2-(4-methoxyphenyl)-4H-chromen-4-one",,O=C1C2=C(O)C=C(OC)C=C2OC(C3=CC(C4=C(O)C=C(O)C5=C4OC(C6=CC=C(OC)C=C6)=CC5=O)=C(OC)C=C3)=C1,IC50=38.4 ¦ÌM,"Ryu, Y. B.; Jeong, H. J.; Kim, J. H.; Kim, Y. M.; Park, J.-Y.; Kim,
D.; Naguyen, T. T. H.; Park, S.-J.; Chang, J. S.; Park, K. H.
Biflavonoids from Torreya nucifera displaying SARS-CoV 3CLpro
inhibition. Bioorg. Med. Chem. 2010, 18, 7940?7947.",
156,celastrol,,O=C1C(O)=C(C)C2=CC=C([C@](CC[C@]3(C)[C@@]4([H])C[C@](C)(C(O)=O)CC3)(C)[C@@]4(C)CC5)[C@]5(C)C2=C1,IC50=10.3 ¦ÌM,"Ryu, Y. B.; Park, S.-J.; Kim, Y. M.; Lee, J.-Y.; Seo, W. D.; Chang,
J. S.; Park, K. H.; Rho, M.-C.; Lee, W. S. SARS-CoV 3CLpro inhibitory
effects of quinone-methide triterpenes from Tripterygium regelii.
Bioorg. Med. Chem. Lett. 2010, 20, 1873?1876.",
157,pristimererin,,O=C1C(O)=C(C)C2=CC=C([C@](CC[C@]3(C)[C@@]4([H])C[C@](C)(C(OC)=O)CC3)(C)[C@@]4(C)CC5)[C@]5(C)C2=C1,IC50=5.5 ¦ÌM,"Ryu, Y. B.; Park, S.-J.; Kim, Y. M.; Lee, J.-Y.; Seo, W. D.; Chang,
J. S.; Park, K. H.; Rho, M.-C.; Lee, W. S. SARS-CoV 3CLpro inhibitory
effects of quinone-methide triterpenes from Tripterygium regelii.
Bioorg. Med. Chem. Lett. 2010, 20, 1873?1876.",
158,tingenone,,O=C1C(O)=C(C)C2=CC=C([C@](CC[C@](C3)(C)[C@@]4([H])C[C@@H](C)C3=O)(C)[C@@]4(C)CC5)[C@]5(C)C2=C1,IC50=9.9 ¦ÌM,"Ryu, Y. B.; Park, S.-J.; Kim, Y. M.; Lee, J.-Y.; Seo, W. D.; Chang,
J. S.; Park, K. H.; Rho, M.-C.; Lee, W. S. SARS-CoV 3CLpro inhibitory
effects of quinone-methide triterpenes from Tripterygium regelii.
Bioorg. Med. Chem. Lett. 2010, 20, 1873?1876.",
159,iguesterin,,O=C1C(O)=C(C)C2=CC=C([C@](CC[C@]3(C)[C@@]4([H])CC(C)=CC3)(C)[C@@]4(C)CC5)[C@]5(C)C2=C1,IC50=2.6 ¦ÌM,"Ryu, Y. B.; Park, S.-J.; Kim, Y. M.; Lee, J.-Y.; Seo, W. D.; Chang,
J. S.; Park, K. H.; Rho, M.-C.; Lee, W. S. SARS-CoV 3CLpro inhibitory
effects of quinone-methide triterpenes from Tripterygium regelii.
Bioorg. Med. Chem. Lett. 2010, 20, 1873?1876.",
160,"(2R,4aS,6aS,12bS,14aS,14bR)-10,11-dihydroxy-2,4a,6a,9,12b,14a-hexamethyl-1,2,3,4,4a,5,6,6a,8,12b,13,14,14a,14b-tetradecahydropicene-2-carboxylic acid",,OC1=CC2=C(CC=C3[C@@]2(C)CC[C@]4(C)[C@]3(C)CC[C@]5(C)[C@@]4([H])C[C@](C)(C(O)=O)CC5)C(C)=C1O,IC50=21.7 ¦ÌM,"Ryu, Y. B.; Park, S.-J.; Kim, Y. M.; Lee, J.-Y.; Seo, W. D.; Chang,
J. S.; Park, K. H.; Rho, M.-C.; Lee, W. S. SARS-CoV 3CLpro inhibitory
effects of quinone-methide triterpenes from Tripterygium regelii.
Bioorg. Med. Chem. Lett. 2010, 20, 1873?1876.",
161,"2-((2,4-dichloro-5-methylphenyl)sulfonyl)-1,3-dinitro-5-(trifluoromethyl)benzene",,O=S(C1=C([N+]([O-])=O)C=C(C(F)(F)F)C=C1[N+]([O-])=O)(C2=C(Cl)C=C(Cl)C(C)=C2)=O,IC50=0.3 ¦ÌM,"Lu, I.-L.; Mahindroo, N.; Liang, P.-H.; Peng, Y.-H.; Kuo, C.-J.;
Tsai, K.-C.; Hsieh, H.-P.; Chao, Y.-S.; Wu, S.-Y. Structure-based drug
design and structural biology study of novel nonpeptide inhibitors of
severe acute respiratory syndrome coronavirus main protease. J. Med.
Chem. 2006, 49, 5154?5161.",
162,"sulfonylbis(4,1-phenylene) bis(2,3,3-trichloroacrylate)",,O=S(C1=CC=C(OC(/C(Cl)=C(Cl)\Cl)=O)C=C1)(C2=CC=C(OC(/C(Cl)=C(Cl)\Cl)=O)C=C2)=O,IC50=0.9 ¦ÌM,"Lu, I.-L.; Mahindroo, N.; Liang, P.-H.; Peng, Y.-H.; Kuo, C.-J.;
Tsai, K.-C.; Hsieh, H.-P.; Chao, Y.-S.; Wu, S.-Y. Structure-based drug
design and structural biology study of novel nonpeptide inhibitors of
severe acute respiratory syndrome coronavirus main protease. J. Med.
Chem. 2006, 49, 5154?5161.",
